Received Log:

[9 дек. 2017 г. 8:42:31] ASCII:
23717,23700,22362,1,1,2,1,2,2,-1,b14,1,0.04,24,1
23726,23726,22362,1,2,2,1,1,2,1,newxy,,,,
23805,23798,23726,1,2,2,1,1,2,1,b21,1,0.29,24,7
23826,23825,23726,1,2,2,1,1,2,1,redsFortune,-1.28,-3,0.00,
23878,23825,23726,1,2,2,1,1,2,1,b14,0,0.08,24,2
23998,23988,23726,1,2,2,1,1,2,1,b21,0,0.33,24,8
,,,,,,,,,,b24,1,0.21,24,5
24040,24039,23726,1,3,2,1,2,2,1,newxy,,,,
24142,24120,24039,1,3,2,1,2,2,1,b24,0,0.24,25,6
24283,24272,24039,1,3,2,1,2,2,1,b14,1,0.12,25,3
24350,24350,24039,1,4,2,1,3,2,1,newxy,,,,
24390,24377,24350,1,4,2,1,3,2,1,b14,0,0.16,25,4
24491,24480,24350,1,4,2,1,3,2,1,b21,1,0.36,25,9
24508,24507,24350,1,4,2,1,3,2,1,redsFortune,-0.93,-1,0.00,
24665,24664,24350,1,5,2,1,4,2,1,newxy,,,,
24763,24741,24664,1,5,2,1,4,2,1,b21,0,0.40,25,10
24843,24819,24664,1,5,2,1,4,2,1,b14,1,0.20,25,5
24883,24871,24664,1,5,2,1,4,2,1,b24,1,0.28,25,7
24942,24924,24664,1,5,2,1,4,2,1,b14,0,0.24,25,6
24975,24974,24664,1,6,2,1,5,2,1,newxy,,,,
25095,25077,24974,1,6,2,1,5,2,1,b24,0,0.31,26,8
25114,25103,24974,1,6,2,1,5,2,1,b14,1,0.27,26,7
25194,25181,24974,1,6,2,1,5,2,1,b14,0,0.31,26,8
25284,25284,24974,1,7,2,1,6,2,1,newxy,,,,
25304,25284,25284,1,7,2,1,6,2,1,b21,1,0.42,26,11
25564,25540,25284,1,7,2,1,6,2,1,b21,0,0.46,26,12
25593,25592,25284,1,8,2,1,7,2,1,newxy,,,,
25835,25823,25592,1,8,2,1,7,2,1,b21,1,0.50,26,13
25850,25849,25592,1,8,2,1,7,2,1,redsFortune,3.93,-1,0.00,
25908,25907,25592,1,9,2,1,8,2,1,newxy,,,,
26086,26079,25907,1,9,2,1,8,2,1,b21,0,0.52,27,14
26105,26105,25907,1,9,2,1,8,2,1,b14,1,0.33,27,9
26164,26158,25907,1,9,2,1,8,2,1,b14,0,0.37,27,10
26210,26210,25907,1,10,2,1,9,2,1,newxy,,,,
26229,26210,26210,1,10,2,1,9,2,1,b24,1,0.33,27,9
26287,26262,26210,1,10,2,1,9,2,1,b14,1,0.41,27,11
26346,26340,26210,1,10,2,1,9,2,1,b14,0,0.44,27,12
26385,26365,26210,1,10,2,1,9,2,1,b21,1,0.56,27,15
,,,,,,,,,,b24,0,0.37,27,10
26393,26392,26210,1,10,2,1,9,2,1,redsFortune,8.62,3,0.00,
26587,26574,26210,1,10,2,-1,9,2,1,b14,1,0.48,27,13
26647,26627,26210,1,10,2,-1,9,2,1,b14,0,0.52,27,14
,,,,,,,,,,b21,0,0.59,27,16
,,,,,,,,,,b24,1,0.41,27,11
26654,26653,26210,1,9,2,-1,10,2,-1,newxy,,,,
